Фанера березовая ФК, Е1, 1525х1525 мм, ГОСТ 3916.1-96							
Толщина, мм	кол-во листов в  пачке	Условный вес пачки, кг	м3 в 1 пачке	Сорт			
				II/II	II/IV	III/IV	IV/IV
				Базовая цена  с НДС на условии FCA Гремячинск, руб./м3			
3	130	662,1054375	0,90699375	23614,68	23169,12	22723,56	22278
4	100	679,0825	0,93025	22434,794	22011,496	21588,198	21164,9
6	66	672,291675	0,9209475	20708,7642	20318,0328	19927,3014	19536,57
8	50	679,0825	0,93025	20205,44864	19824,21376	19442,97888	19061,744
9	44	672,291675	0,9209475	19869,1064	19494,2176	19119,3288	18744,44
10	40	679,0825	0,93025	19619,964	19249,776	18879,588	18509,4
12	33	672,291675	0,9209475	19607,3871	19237,4364	18867,4857	18497,535
15	26	662,1054375	0,90699375	19370,8216	19005,3344	18639,8472	18274,36
18	22	672,291675	0,9209475	18997,108	18638,672	18280,236	17921,8
21	19	677,3847937	0,927924375	18997,108	18638,672	18280,236	17921,8
